username,fsuid1,fsuid2,fsuid3
walk-in-1,lmv12b,,
walk-in-10,ya13,,
walk-in-11,ng15j,mk14z,vp15g
walk-in-13,amd15t,htt15,
walk-in-14,kch15c,kvc13b,
walk-in-16,jmk15f,,
walk-in-17,ath14,,
walk-in-18,pd16,ada10j,jay13
walk-in-19,dma13d,fcs14b,
walk-in-2,dam11k,,
walk-in-20,gcs16d,jhp16b,
walk-in-21,zlj16,naw16b,
walk-in-22,cd13k,gqm13,
walk-in-23,cpg14,cf15,gb14
walk-in-25,lhg12,,
walk-in-26,djr13d,nf12c,
walk-in-27,bv15b,ez15,ech15c
walk-in-28,rms14m,krd14g,
walk-in-3,mgf15,,
walk-in-30,pf13b,mr10z,
walk-in-32,mtb15,,
walk-in-33,imt12,tca11b,sdb14b
walk-in-34,ckd14,,
walk-in-35,dc13c,,
walk-in-36,oy14,,
walk-in-37,mj13e,apu15,nb13m
walk-in-38,jrr13f,,
walk-in-4,cqj16,,
walk-in-40,btp14g,,
walk-in-41,aps10d,els16,
walk-in-42,cb07d,,
walk-in-43,ejl13,,
walk-in-5,ar16m,jj16b,sb16y
walk-in-6,naw16b,,
walk-in-8,ea15d,mee15b,
walk-in-9,reb13d,jd16k,jd16k